ENSGID,Condition_A
ENSG00000167553,0.621968499
ENSG00000221909,0.621453157
ENSG00000213741,0.621318505
ENSG00000196793,0.621317434
ENSG00000115457,0.621242905
ENSG00000185201,0.621218645
ENSG00000136425,0.620991524
ENSG00000135643,0.620857578
ENSG00000173207,0.620791201
ENSG00000070761,0.620760671
ENSG00000197982,0.620427507
ENSG00000213639,0.620305276
ENSG00000121966,0.620277428
ENSG00000143947,0.62003578
ENSG00000264569,0.619818568
ENSG00000138085,0.619165719
ENSG00000148303,0.61911443
ENSG00000198918,0.619016206
ENSG00000203706,0.619014282
ENSG00000139722,0.619005267
ENSG00000189043,0.618872296
ENSG00000184076,0.61877502
ENSG00000130287,0.618661426
ENSG00000102158,0.61853503
